mode,method_name,budget_mode,compression_mode,query_id,docs_used,prompt_tokens,completion_tokens,total_tokens,token_source,generation_time_ms,answer_f1,answer_coverage,semantic_similarity,ndcg_at_10,mrr_at_10,selected_doc_ids,answer,fallback_used,fallback_reason,first_pass_tokens,fallback_tokens
answer_aware_fallback,Safe Adaptive Context,answer_aware_fallback,compact_then_full_fallback,bioasq_4096,3,715,80,795,provider,12657,0.230769,0.333333,0.58066,0.831872,1.0,"[""bioasq_31939155"", ""bioasq_30700556"", ""bioasq_29217730""]","The ligands for Roundabout (Robo) receptors are primarily the Slit protein family, as mentioned in Document 1 and Document 3. However, Document 2 also suggests that neural epidermal growth factor-like (NELL2) might be a novel ligand for Robo3, but it's important to note that this information is specific to Robo3",False,,795,0
coverage_guided_ultra,Coverage-Guided Ultra,coverage_guided_ultra,coverage_guided_ultra,bioasq_4096,3,591,80,671,provider,11475,0.186047,0.291667,0.565258,0.636682,1.0,"[""bioasq_31939155"", ""bioasq_30700556"", ""bioasq_19345675""]","The provided documents suggest that the ligands for Roundabout (Robo) receptors are the Slit protein family. However, it's important to note that no document directly mentions any other potential mRNA ligands for HuR, which is a different topic from the question asked. Therefore, based on the provided documents, the evidence is sufficient to answer the question about the lig",False,,671,0
task_aware_coverage_ultra,TACER,task_aware_coverage_ultra,task_aware_ultra,bioasq_4096,3,591,80,671,provider,7029,0.170732,0.25,0.722286,0.636682,1.0,"[""bioasq_31939155"", ""bioasq_30700556"", ""bioasq_19345675""]","The provided documents suggest that the ligands for Roundabout (Robo) receptors are the Slit protein family. However, there is no mention of any other potential mRNA ligands in the given documents. Therefore, based on the provided information, it can be concluded that the ligands for Roundabout receptors are the Slit proteins. If there were other ligands",False,ultra_route:focused_or_concentrated,671,0
no_retrieval_full,No Retrieval,no_retrieval,full,bioasq_3686,0,74,24,98,provider,2334,0.105263,0.2,0.692318,0.0,0.0,[],The evidence provided in the documents is insufficient to determine whether saracatinib promotes oncogenesis.,False,,0,0
fixed_3_full,Fixed Small Context,fixed_3,full,bioasq_3686,3,1535,80,1615,provider,20101,0.078431,0.4,0.761965,1.0,1.0,"[""bioasq_23144237"", ""bioasq_25679813"", ""bioasq_26649774""]","The evidence provided in the documents does not directly state that saracatinib promotes oncogenesis. Instead, it suggests that saracatinib inhibits Src kinase activity, which is involved in cell proliferation, adhesion, invasion, migration, and tumorigenesis (Document 1). Furthermore, it indicates that saracatinib can be a strategy to",False,,0,0
fixed_5_full,Fixed Medium Context,fixed_5,full,bioasq_3686,5,2277,80,2357,provider,14128,0.081633,0.4,0.759824,1.0,1.0,"[""bioasq_23144237"", ""bioasq_25679813"", ""bioasq_26649774"", ""bioasq_17620423"", ""bioasq_25284786""]","The evidence provided in the documents does not directly mention that saracatinib promotes oncogenesis. Instead, it suggests that saracatinib inhibits Src kinase activity, which is involved in cell proliferation, adhesion, invasion, migration, and tumorigenesis (Document 1). Furthermore, it indicates that saracatinib can induce apopt",False,,0,0
fixed_7_full,Fixed Large Context,fixed_7,full,bioasq_3686,7,3183,80,3263,provider,16200,0.085106,0.4,0.75688,1.0,1.0,"[""bioasq_23144237"", ""bioasq_25679813"", ""bioasq_26649774"", ""bioasq_17620423"", ""bioasq_25284786"", ""bioasq_26733203"", ""bioasq_26367078""]","The evidence is insufficient to determine whether saracatinib promotes oncogenesis directly. However, the documents suggest that saracatinib inhibits Src kinase activity, which is involved in cell proliferation, adhesion, invasion, migration, and tumorigenesis (Document 1). Additionally, it induces apoptosis in gastric cancer cells (",False,,0,0
fixed_10_full,Fixed Full Context,fixed_10,full,bioasq_3686,10,4088,40,4128,provider,13185,0.0,0.0,0.216906,1.0,1.0,"[""bioasq_23144237"", ""bioasq_25679813"", ""bioasq_26649774"", ""bioasq_17620423"", ""bioasq_25284786"", ""bioasq_26733203"", ""bioasq_26367078"", ""bioasq_25842866"", ""bioasq_15021236"", ""bioasq_3891280""]",The evidence is insufficient to determine whether sarcoma causes holoprosencephaly as the documents provided do not mention any connection between sarcoma and holoprosencephaly.,False,,0,0
heuristic_rules_full,Heuristic Rules,heuristic_rules,full,bioasq_3686,7,3183,80,3263,provider,36256,0.085106,0.4,0.75688,1.0,1.0,"[""bioasq_23144237"", ""bioasq_25679813"", ""bioasq_26649774"", ""bioasq_17620423"", ""bioasq_25284786"", ""bioasq_26733203"", ""bioasq_26367078""]","The evidence is insufficient to determine whether saracatinib promotes oncogenesis directly. However, the documents suggest that saracatinib inhibits Src kinase activity, which is involved in cell proliferation, adhesion, invasion, migration, and tumorigenesis (Document 1). Additionally, it induces apoptosis in gastric cancer cells (",False,,0,0
adaptive_k_full,Adaptive-k,adaptive_k,full,bioasq_3686,1,645,80,725,provider,6994,0.122449,0.6,0.731356,1.0,1.0,"[""bioasq_23144237""]","The provided document suggests that saracatinib, a c-Src/Abl kinase inhibitor, has antitumor effects in gastric cancer. It blocks oncogenic signaling pathways and induces apoptosis (cell death), which are typically associated with anti-oncogenesis rather than oncogenesis. Therefore, the evidence suggests that sarac",False,,0,0
answer_aware_fallback,Safe Adaptive Context,answer_aware_fallback,compact_then_full_fallback,bioasq_3686,3,760,80,840,provider,13211,0.113208,0.6,0.732131,1.0,1.0,"[""bioasq_23144237"", ""bioasq_25679813"", ""bioasq_26649774""]","The documents provided do not mention saracatinib promoting oncogenesis directly. However, they do suggest that Src, a kinase inhibited by saracatinib, is involved in the promotion of cell proliferation, adhesion, invasion, migration, and tumorigenesis (Document 1). Increased Src activity has been reported in many types of human cancer",False,,840,0
coverage_guided_ultra,Coverage-Guided Ultra,coverage_guided_ultra,coverage_guided_ultra,bioasq_3686,2,411,66,477,provider,8837,0.042553,0.2,0.752197,1.0,1.0,"[""bioasq_23144237"", ""bioasq_25284786""]","The provided documents do not mention that saracatinib promotes oncogenesis. Instead, they suggest that it is being investigated as a potential therapeutic target for cancer treatments, specifically in gastric cancer (Document 1). However, the evidence does not indicate that it promotes oncogenesis.",False,,477,0
task_aware_coverage_ultra,TACER,task_aware_coverage_ultra,task_aware_ultra,bioasq_3686,2,411,66,477,provider,5816,0.042553,0.2,0.752197,1.0,1.0,"[""bioasq_23144237"", ""bioasq_25284786""]","The provided documents do not mention that saracatinib promotes oncogenesis. Instead, they suggest that it is being investigated as a potential therapeutic target for cancer treatments, specifically in gastric cancer (Document 1). However, the evidence does not indicate that it promotes oncogenesis.",False,ultra_route:focused_or_concentrated,477,0
no_retrieval_full,No Retrieval,no_retrieval,full,bioasq_1317,0,75,80,155,provider,7304,0.3,0.45,0.876701,0.0,0.0,[],"The mechanism of action of abiraterone is inhibition of cytochrome P45017 enzyme (CYP17), which leads to a decrease in androgen biosynthesis. This drug is used for the treatment of metastatic castration-resistant prostate cancer.

Reference(s):
[Abiraterone acet",False,,0,0
fixed_3_full,Fixed Small Context,fixed_3,full,bioasq_1317,3,1229,60,1289,provider,15913,0.326531,0.4,0.831869,0.644824,1.0,"[""bioasq_23199349"", ""bioasq_22291466"", ""bioasq_23344012""]","The mechanism of action of abiraterone is blocking the enzyme, cytochrome P450 17 alpha-hydroxylase (CYP17), which significantly reduces androgen production in castrate-resistant prostate cancer (CRPC).",False,,0,0
fixed_5_full,Fixed Medium Context,fixed_5,full,bioasq_1317,5,2043,69,2112,provider,13627,0.321429,0.45,0.850853,0.775148,1.0,"[""bioasq_23199349"", ""bioasq_22291466"", ""bioasq_23344012"", ""bioasq_22672122"", ""bioasq_32066940""]","The mechanism of action of abiraterone is to block the enzyme, cytochrome P450 17 alpha-hydroxylase (CYP17), which significantly reduces androgen production in castrate-resistant prostate cancer (CRPC). This is mentioned in Document 2.",False,,0,0
fixed_7_full,Fixed Large Context,fixed_7,full,bioasq_1317,7,2502,80,2582,provider,11502,0.380952,0.55,0.937025,0.775148,1.0,"[""bioasq_23199349"", ""bioasq_22291466"", ""bioasq_23344012"", ""bioasq_22672122"", ""bioasq_32066940"", ""bioasq_2238088"", ""bioasq_15846065""]","The mechanism of action of abiraterone is to block the enzyme, cytochrome P450 17 alpha-hydroxylase (CYP17), which reduces androgen production. This is mentioned in Document 2 and Document 4. Abiraterone acetate is an oral androgen biosynthesis inhibitor that targets a",False,,0,0
fixed_10_full,Fixed Full Context,fixed_10,full,bioasq_1317,10,3500,70,3570,provider,16302,0.280702,0.4,0.826463,0.775148,1.0,"[""bioasq_23199349"", ""bioasq_22291466"", ""bioasq_23344012"", ""bioasq_22672122"", ""bioasq_32066940"", ""bioasq_2238088"", ""bioasq_15846065"", ""bioasq_29531424"", ""bioasq_30081197"", ""bioasq_15909992""]","The mechanism of action of abiraterone is blocking the enzyme, cytochrome P450 17 alpha-hydroxylase (CYP17), thereby significantly reducing androgen production in castrate-resistant prostate cancer (CRPC). This information can be found in Document 2.",False,,0,0
heuristic_rules_full,Heuristic Rules,heuristic_rules,full,bioasq_1317,7,2502,80,2582,provider,7118,0.380952,0.55,0.937025,0.775148,1.0,"[""bioasq_23199349"", ""bioasq_22291466"", ""bioasq_23344012"", ""bioasq_22672122"", ""bioasq_32066940"", ""bioasq_2238088"", ""bioasq_15846065""]","The mechanism of action of abiraterone is to block the enzyme, cytochrome P450 17 alpha-hydroxylase (CYP17), which reduces androgen production. This is mentioned in Document 2 and Document 4. Abiraterone acetate is an oral androgen biosynthesis inhibitor that targets a",False,,0,0
adaptive_k_full,Adaptive-k,adaptive_k,full,bioasq_1317,2,817,74,891,provider,6507,0.333333,0.45,0.842815,0.493523,1.0,"[""bioasq_23199349"", ""bioasq_22291466""]","The mechanism of action of abiraterone is blocking the enzyme, cytochrome P450 17 alpha-hydroxylase (CYP17), which significantly reduces androgen production. This inhibition of androgen production provides a treatment option for patients with castrate-resistant prostate cancer (CRPC).",False,,0,0
answer_aware_fallback,Safe Adaptive Context,answer_aware_fallback,compact_then_full_fallback,bioasq_1317,3,816,69,885,provider,12431,0.258065,0.35,0.794235,0.644824,1.0,"[""bioasq_23199349"", ""bioasq_22291466"", ""bioasq_23344012""]","The mechanism of action of abiraterone is as an androgen biosynthesis inhibitor. It targets the continued AR activation in castration-resistant prostate cancer (CRPC), specifically by inhibiting androgen synthesis. This information can be found in documents 1, 2, and 3.",False,,885,0
coverage_guided_ultra,Coverage-Guided Ultra,coverage_guided_ultra,coverage_guided_ultra,bioasq_1317,2,516,68,584,provider,9698,0.222222,0.35,0.753878,0.493523,1.0,"[""bioasq_23199349"", ""bioasq_22291466""]","The documents provided suggest that Abiraterone acts as an androgen biosynthesis inhibitor, specifically targeting a newly elucidated paradigm of continued AR activation in castration-resistant prostate cancer (CRPC). However, the exact mechanism of action is not explicitly detailed in these documents.",False,,584,0
task_aware_coverage_ultra,TACER,task_aware_coverage_ultra,task_aware_ultra,bioasq_1317,2,516,68,584,provider,5846,0.222222,0.35,0.753878,0.493523,1.0,"[""bioasq_23199349"", ""bioasq_22291466""]","The documents provided suggest that Abiraterone acts as an androgen biosynthesis inhibitor, specifically targeting a newly elucidated paradigm of continued AR activation in castration-resistant prostate cancer (CRPC). However, the exact mechanism of action is not explicitly detailed in these documents.",False,ultra_route:focused_or_concentrated,584,0
no_retrieval_full,No Retrieval,no_retrieval,full,bioasq_1908,0,78,35,113,provider,3251,0.26087,0.315789,0.855155,0.0,0.0,[],"The provided documents do not contain information about syndromes associated with heterochromia iridum. Therefore, the evidence is insufficient to answer this question accurately.",False,,0,0
fixed_3_full,Fixed Small Context,fixed_3,full,bioasq_1908,3,892,31,923,provider,10218,0.55,0.526316,0.840973,0.469,1.0,"[""bioasq_1480396"", ""bioasq_14166458"", ""bioasq_12825064""]",The documents provide evidence that Heterochromia iridum is associated with Waardenburg's syndrome and congenital Horner syndrome.,False,,0,0
fixed_5_full,Fixed Medium Context,fixed_5,full,bioasq_1908,5,1209,31,1240,provider,5770,0.55,0.526316,0.840973,0.648932,1.0,"[""bioasq_1480396"", ""bioasq_14166458"", ""bioasq_12825064"", ""bioasq_17878817"", ""bioasq_6823113""]",The documents provide evidence that Heterochromia iridum is associated with Waardenburg's syndrome and congenital Horner syndrome.,False,,0,0
fixed_7_full,Fixed Large Context,fixed_7,full,bioasq_1908,7,1962,80,2042,provider,13761,0.358209,0.526316,0.820547,0.72733,1.0,"[""bioasq_1480396"", ""bioasq_14166458"", ""bioasq_12825064"", ""bioasq_17878817"", ""bioasq_6823113"", ""bioasq_23840513"", ""bioasq_20301628""]","The documents provide evidence that Heterochromia iridum is associated with Waardenburg's syndrome, congenital Horner syndrome, and syndromic-HSCR (Waardenburg-Shah syndrome). However, it is not explicitly stated in the provided documents that heterochromia iridum is associated with acquired Horner syndrome or FGFR cran",False,,0,0
fixed_10_full,Fixed Full Context,fixed_10,full,bioasq_1908,10,2759,80,2839,provider,14851,0.356164,0.578947,0.809166,0.860382,1.0,"[""bioasq_1480396"", ""bioasq_14166458"", ""bioasq_12825064"", ""bioasq_17878817"", ""bioasq_6823113"", ""bioasq_23840513"", ""bioasq_20301628"", ""bioasq_21339912"", ""bioasq_15056980"", ""bioasq_25971175""]","The documents provide evidence that Heterochromia iridum is associated with Waardenburg's syndrome, congenital Horner syndrome, and in some cases, both syndromes together. However, there is no direct mention of it being associated with Bartter's or Gitelman's syndromes, or any other syndromes mentioned in the documents. The evidence",False,,0,0
heuristic_rules_full,Heuristic Rules,heuristic_rules,full,bioasq_1908,5,1209,31,1240,provider,2752,0.55,0.526316,0.840973,0.648932,1.0,"[""bioasq_1480396"", ""bioasq_14166458"", ""bioasq_12825064"", ""bioasq_17878817"", ""bioasq_6823113""]",The documents provide evidence that Heterochromia iridum is associated with Waardenburg's syndrome and congenital Horner syndrome.,False,,0,0
adaptive_k_full,Adaptive-k,adaptive_k,full,bioasq_1908,5,1209,31,1240,provider,2659,0.55,0.526316,0.840973,0.648932,1.0,"[""bioasq_1480396"", ""bioasq_14166458"", ""bioasq_12825064"", ""bioasq_17878817"", ""bioasq_6823113""]",The documents provide evidence that Heterochromia iridum is associated with Waardenburg's syndrome and congenital Horner syndrome.,False,,0,0
answer_aware_fallback,Safe Adaptive Context,answer_aware_fallback,compact_then_full_fallback,bioasq_1908,3,697,53,750,provider,9886,0.54902,0.684211,0.848773,0.469,1.0,"[""bioasq_1480396"", ""bioasq_14166458"", ""bioasq_12825064""]",The documents provide evidence that Heterochromia iridum is associated with both Congenital Horner Syndrome (as per Document 1) and Waardenburg's Syndrome (as per Documents 2 and 3).,False,,750,0
coverage_guided_ultra,Coverage-Guided Ultra,coverage_guided_ultra,coverage_guided_ultra,bioasq_1908,5,1067,80,1147,provider,15496,0.328767,0.526316,0.75167,0.648932,1.0,"[""bioasq_1480396"", ""bioasq_14166458"", ""bioasq_12825064"", ""bioasq_17878817"", ""bioasq_6823113""]","The documents provide evidence that Heterochromia iridum is associated with Waardenburg's syndrome, congenital Horner syndrome, and in some cases, can be related to disruptions in the pathway of tyrosinase induction (which may lead to a deficiency in melanin production of the iris). However, it's important to note that",False,,1147,0
task_aware_coverage_ultra,TACER,task_aware_coverage_ultra,task_aware_ultra,bioasq_1908,5,1067,80,1147,provider,6893,0.328767,0.526316,0.760512,0.648932,1.0,"[""bioasq_1480396"", ""bioasq_14166458"", ""bioasq_12825064"", ""bioasq_17878817"", ""bioasq_6823113""]","The documents provide evidence that Heterochromia iridum is associated with Waardenburg's syndrome, congenital Horner syndrome, and in some cases, can be related to disruptions in the pathway of tyrosinase induction (which may lead to a deficiency in melanin production of the iris). However, it's also mentioned that heter",False,ultra_route:focused_or_concentrated,1147,0
no_retrieval_full,No Retrieval,no_retrieval,full,bioasq_1596,0,73,27,100,provider,2541,0.24,0.5,0.822383,0.0,0.0,[],The provided documents do not contain information about the specific effects of thyronamines on fat tissue. Evidence is insufficient.,False,,0,0
fixed_3_full,Fixed Small Context,fixed_3,full,bioasq_1596,3,1502,80,1582,provider,19695,0.179104,1.0,0.841291,0.63093,0.5,"[""bioasq_25477509"", ""bioasq_20880963"", ""bioasq_19105408""]","The documents provided do not mention any direct effects of thyronamines on fat tissue. However, they do mention that thyronamines can cause reduction of fat mass in animals (Document 2). But this reduction is not specifically linked to the effects on fat tissue or its structure. Therefore, the evidence is insufficient to confirm whether thyronamines have direct effects on fat tissue.",False,,0,0
fixed_5_full,Fixed Medium Context,fixed_5,full,bioasq_1596,5,2471,80,2551,provider,16306,0.113208,0.5,0.769465,0.63093,0.5,"[""bioasq_25477509"", ""bioasq_20880963"", ""bioasq_19105408"", ""bioasq_20691136"", ""bioasq_23117929""]","The documents provided do not directly mention the effects of thyronamines on fat tissue. However, they discuss various factors that influence fat tissue such as FSP27 (Document 1), Avandia and Metformine (Document 3), Eucommia bark (Document 4), and autophagy (Document 5). Thyronamines are mentioned in Document 2",False,,0,0
fixed_7_full,Fixed Large Context,fixed_7,full,bioasq_1596,7,3609,80,3689,provider,18556,0.111111,0.5,0.771302,0.63093,0.5,"[""bioasq_25477509"", ""bioasq_20880963"", ""bioasq_19105408"", ""bioasq_20691136"", ""bioasq_23117929"", ""bioasq_26176546"", ""bioasq_24065549""]","The documents provided do not directly mention the effects of thyronamines on fat tissue. However, they discuss various factors that influence fat storage and metabolism in adipose tissue, such as FSP27 (Document 1), autophagy (Document 5), Cidea and Cidec genes (Documents 6 and 7), and Eucommia bark extract (",False,,0,0
fixed_10_full,Fixed Full Context,fixed_10,full,bioasq_1596,10,4096,80,4176,provider,45557,0.078431,0.333333,0.234078,0.63093,0.5,"[""bioasq_25477509"", ""bioasq_20880963"", ""bioasq_19105408"", ""bioasq_20691136"", ""bioasq_23117929"", ""bioasq_26176546"", ""bioasq_24065549"", ""bioasq_23945733"", ""bioasq_25418138"", ""bioasq_10322135""]","The documents discuss various aspects of cell death-inducing DNA fragmentation factor alpha-like effector c (CIDEC) or fat-specific protein 27 (Fsp27), a lipid droplet-associated protein that plays a role in triglyceride storage.

1. Document 1 discusses the role of CIDEA and Cide",False,,0,0
heuristic_rules_full,Heuristic Rules,heuristic_rules,full,bioasq_1596,5,2471,80,2551,provider,29960,0.113208,0.5,0.769465,0.63093,0.5,"[""bioasq_25477509"", ""bioasq_20880963"", ""bioasq_19105408"", ""bioasq_20691136"", ""bioasq_23117929""]","The documents provided do not directly mention the effects of thyronamines on fat tissue. However, they discuss various factors that influence fat tissue such as FSP27 (Document 1), Avandia and Metformine (Document 3), Eucommia bark (Document 4), and autophagy (Document 5). Thyronamines are mentioned in Document 2",False,,0,0
adaptive_k_full,Adaptive-k,adaptive_k,full,bioasq_1596,1,628,80,708,provider,7070,0.111111,0.5,0.42206,0.0,0.0,"[""bioasq_25477509""]","Yes, according to the provided document, there is an influence on fat tissue as the disruption of Fsp27 gene in adipocytes leads to impaired fat-storing function in white adipose tissue (WAT), resulting in weight resistance and lipid overflow from WAT. This can cause hepatosteatosis, dyslipidemia, and system",False,,0,0
answer_aware_fallback,Safe Adaptive Context,answer_aware_fallback,compact_then_full_fallback,bioasq_1596,3,852,80,932,provider,13765,0.15873,0.833333,0.77776,0.63093,0.5,"[""bioasq_25477509"", ""bioasq_20880963"", ""bioasq_19105408""]","The documents provide evidence that thyronamines (TAMs) have effects on fat mass. Specifically, Document 2 states that intraperitoneal or central injection of T(0)AM into mice caused a reduction of fat mass. However, the documents do not contain information about how thyronamines specifically affect fat tissue or if they have any direct influence on white ad",False,,932,0
coverage_guided_ultra,Coverage-Guided Ultra,coverage_guided_ultra,coverage_guided_ultra,bioasq_1596,2,369,42,411,provider,6243,0.166667,0.5,0.779159,0.63093,0.5,"[""bioasq_25477509"", ""bioasq_20880963""]","The documents provided do not mention any direct effects of thyronamines on fat tissue. However, the evidence is insufficient to definitively conclude that thyronamines have no effect on fat tissue.",False,,411,0
task_aware_coverage_ultra,TACER,task_aware_coverage_ultra,task_aware_ultra,bioasq_1596,2,369,42,411,provider,3543,0.166667,0.5,0.779159,0.63093,0.5,"[""bioasq_25477509"", ""bioasq_20880963""]","The documents provided do not mention any direct effects of thyronamines on fat tissue. However, the evidence is insufficient to definitively conclude that thyronamines have no effect on fat tissue.",False,ultra_route:focused_or_concentrated,411,0
no_retrieval_full,No Retrieval,no_retrieval,full,bioasq_629,0,77,25,102,provider,2073,0.126316,0.109091,0.486577,0.0,0.0,[],The provided documents do not contain sufficient evidence to determine which event results in the acetylation of S6K1.,False,,0,0
fixed_3_full,Fixed Small Context,fixed_3,full,bioasq_629,3,1321,80,1401,provider,16093,0.442623,0.381818,0.829852,1.0,1.0,"[""bioasq_20599721"", ""bioasq_19961954"", ""bioasq_23126280""]","The event that results in the acetylation of S6K1 is growth factor stimulation, as stated in Document 1. However, it's also mentioned in Document 2 that S6Ks can be acetylated by histone acetyltransferases (p300 and PCAF) following mitogen stimulation. Therefore, both growth factor stimulation",False,,0,0
fixed_5_full,Fixed Medium Context,fixed_5,full,bioasq_629,5,2290,80,2370,provider,15734,0.353846,0.290909,0.760756,1.0,1.0,"[""bioasq_20599721"", ""bioasq_19961954"", ""bioasq_23126280"", ""bioasq_23798680"", ""bioasq_22972992""]","The event that results in the acetylation of S6K1 is growth factor stimulation, as stated in Document 1. However, it's also mentioned in Document 2 that S6Ks are targeted by lysine acetylation following mitogen stimulation, which could potentially include growth factors. Therefore, both growth factor stimulation and mitogen stimulation might lead to",False,,0,0
fixed_7_full,Fixed Large Context,fixed_7,full,bioasq_629,7,3420,70,3490,provider,17350,0.45,0.327273,0.780557,1.0,1.0,"[""bioasq_20599721"", ""bioasq_19961954"", ""bioasq_23126280"", ""bioasq_23798680"", ""bioasq_22972992"", ""bioasq_24931163"", ""bioasq_17574768""]","The event that results in the acetylation of S6K1, as per the provided documents, is growth factor stimulation. This is indicated in Document 1 where it states that ""acetylation of endogenous S6K1 at this site (K516) is potently induced upon growth factor stimulation.""",False,,0,0
fixed_10_full,Fixed Full Context,fixed_10,full,bioasq_629,10,4096,80,4176,provider,45642,0.214876,0.181818,0.336225,1.0,1.0,"[""bioasq_20599721"", ""bioasq_19961954"", ""bioasq_23126280"", ""bioasq_23798680"", ""bioasq_22972992"", ""bioasq_24931163"", ""bioasq_17574768"", ""bioasq_18697214"", ""bioasq_20520769"", ""bioasq_22362900""]","The provided texts discuss various aspects related to tubulin acetylation, a post-translational modification associated with microtubule stability. Several deacetylases, such as HDAC6 and Sirtuin T2 (SirT2), are mentioned in relation to this process.

Inhibition of HDAC6 results in higher levels of acetylated tubulin",False,,0,0
heuristic_rules_full,Heuristic Rules,heuristic_rules,full,bioasq_629,7,3420,70,3490,provider,38421,0.45,0.327273,0.780557,1.0,1.0,"[""bioasq_20599721"", ""bioasq_19961954"", ""bioasq_23126280"", ""bioasq_23798680"", ""bioasq_22972992"", ""bioasq_24931163"", ""bioasq_17574768""]","The event that results in the acetylation of S6K1, as per the provided documents, is growth factor stimulation. This is indicated in Document 1 where it states that ""acetylation of endogenous S6K1 at this site (K516) is potently induced upon growth factor stimulation.""",False,,0,0
adaptive_k_full,Adaptive-k,adaptive_k,full,bioasq_629,1,453,26,479,provider,2360,0.212766,0.163636,0.750796,0.613147,1.0,"[""bioasq_20599721""]","The event resulting in the acetylation of S6K1 is growth factor stimulation, as stated in the document.",False,,0,0
answer_aware_fallback,Safe Adaptive Context,answer_aware_fallback,compact_then_full_fallback,bioasq_629,3,734,80,814,provider,12847,0.300752,0.254545,0.658305,1.0,1.0,"[""bioasq_20599721"", ""bioasq_19961954"", ""bioasq_23126280""]","The documents provided do not contain enough evidence to determine specifically what event results in the acetylation of S6K1. While it is mentioned that acetylation of S6K1 can occur in response to growth factor signaling and inhibition of class I/II histone deacetylases (HDACs), the documents do not provide information on a specific event that triggers",False,,814,0
coverage_guided_ultra,Coverage-Guided Ultra,coverage_guided_ultra,coverage_guided_ultra,bioasq_629,2,349,80,429,provider,9481,0.347826,0.272727,0.77811,0.613147,1.0,"[""bioasq_20599721"", ""bioasq_22362900""]","The evidence in the provided documents suggests that the acetylation of S6K1 can occur in response to growth factor signaling, but it does not specify a particular event that results in this acetylation. However, it is mentioned that this acetylation may serve as a response to growth factor signaling. Therefore, while the exact event triggering the acetylation is not explicitly stated",False,,429,0
task_aware_coverage_ultra,TACER,task_aware_coverage_ultra,task_aware_ultra,bioasq_629,2,349,80,429,provider,7135,0.347826,0.272727,0.77811,0.613147,1.0,"[""bioasq_20599721"", ""bioasq_22362900""]","The evidence in the provided documents suggests that the acetylation of S6K1 can occur in response to growth factor signaling, but it does not specify a particular event that results in this acetylation. However, it is mentioned that this acetylation may serve as a response to growth factor signaling. Therefore, while the exact event triggering the acetylation is not explicitly stated",False,ultra_route:focused_or_concentrated,429,0
no_retrieval_full,No Retrieval,no_retrieval,full,bioasq_670,0,80,36,116,provider,3440,0.272727,0.315789,0.461913,0.0,0.0,[],"The provided documents do not contain information about the specific components of mTOR Complex 2 (mTORC2). Therefore, I cannot provide a definitive list.",False,,0,0
fixed_3_full,Fixed Small Context,fixed_3,full,bioasq_670,3,1422,80,1502,provider,19315,0.277778,0.473684,0.632987,0.469,1.0,"[""bioasq_23049074"", ""bioasq_23455608"", ""bioasq_23673367""]","The documents provided do not explicitly list all the components of mTOR Complex 2 (mTORC2). However, they mention that Rictor is a key component of mTORC2. From Document 3, we can also infer that Raptor is not a component of mTORC2 as it is a binding partner and component of mTORC1",False,,0,0
fixed_5_full,Fixed Medium Context,fixed_5,full,bioasq_670,5,2234,80,2314,provider,14632,0.38806,0.684211,0.66308,0.648932,1.0,"[""bioasq_23049074"", ""bioasq_23455608"", ""bioasq_23673367"", ""bioasq_22532249"", ""bioasq_24077282""]","The documents provided do not explicitly list all the components of mTOR Complex 2 (mTORC2). However, they mention that mTORC2 contains the regulatory protein Rictor (Document 1 and Document 3), mSin1 (Document 4), and mLST8/GβL (implied in Document 4 as it is a component",False,,0,0
fixed_7_full,Fixed Large Context,fixed_7,full,bioasq_670,7,2934,80,3014,provider,13715,0.294118,0.473684,0.553382,0.800694,1.0,"[""bioasq_23049074"", ""bioasq_23455608"", ""bioasq_23673367"", ""bioasq_22532249"", ""bioasq_24077282"", ""bioasq_24244675"", ""bioasq_22678916""]","The documents provided do not explicitly list all the components of mTOR Complex 2 (mTORC2). However, they mention that Rictor is a key component of mTORC2 (Document 1, Document 2, Document 6), and Sin1 is an essential component of mTORC2 (Document 7). Other components such as mSin",False,,0,0
fixed_10_full,Fixed Full Context,fixed_10,full,bioasq_670,10,4096,80,4176,provider,45396,0.268657,0.368421,0.699939,0.933746,1.0,"[""bioasq_23049074"", ""bioasq_23455608"", ""bioasq_23673367"", ""bioasq_22532249"", ""bioasq_24077282"", ""bioasq_24244675"", ""bioasq_22678916"", ""bioasq_22595285"", ""bioasq_23641065"", ""bioasq_22773877""]","The documents discuss various aspects of mTOR Complex 1 (mTORC1) and mTOR Complex 2 (mTORC2), which are key regulators of cell growth, metabolism, and signaling. Here's a summary of their roles and functions as presented in the documents:

1. Document 1: Discusses the role of",False,,0,0
heuristic_rules_full,Heuristic Rules,heuristic_rules,full,bioasq_670,5,2234,80,2314,provider,27320,0.38806,0.684211,0.66308,0.648932,1.0,"[""bioasq_23049074"", ""bioasq_23455608"", ""bioasq_23673367"", ""bioasq_22532249"", ""bioasq_24077282""]","The documents provided do not explicitly list all the components of mTOR Complex 2 (mTORC2). However, they mention that mTORC2 contains the regulatory protein Rictor (Document 1 and Document 3), mSin1 (Document 4), and mLST8/GβL (implied in Document 4 as it is a component",False,,0,0
adaptive_k_full,Adaptive-k,adaptive_k,full,bioasq_670,1,520,65,585,provider,5805,0.327869,0.421053,0.545185,0.220092,1.0,"[""bioasq_23049074""]","The provided document mentions Rictor as a key component of mTOR Complex 2 (mTORC2). However, it does not list other components of mTORC2. Therefore, the evidence is insufficient to provide a complete list of all components of mTOR Complex 2.",False,,0,0
